"","統計年月","縣市","行政區域","戶數","總人數","人口數","青少年人口","壯年人口","老年人口"
"166",10407,"臺北市","內湖區清白里",3641,8729,8729,1300,6688,741
"167",10407,"臺北市","內湖區瑞光里",1764,4822,4822,600,3708,514
"168",10407,"臺北市","內湖區瑞陽里",3150,8172,8172,1072,5969,1131
"169",10407,"臺北市","內湖區石潭里",1823,3776,3776,509,2858,409
"170",10407,"臺北市","內湖區五分里",4079,11904,11904,2659,8442,803
"171",10407,"臺北市","內湖區西安里",2569,6912,6912,849,5402,661
"172",10407,"臺北市","內湖區西湖里",2828,7776,7776,930,6037,809
"173",10407,"臺北市","內湖區西康里",3748,9667,9667,1219,7451,997
"174",10407,"臺北市","內湖區行善里",2796,6890,6890,899,5271,720
"175",10407,"臺北市","內湖區秀湖里",2421,6450,6450,803,4896,751
"176",10407,"臺北市","內湖區週美里",3278,7754,7754,998,5910,846
"177",10407,"臺北市","內湖區紫星里",2987,8293,8293,1105,6362,826
"178",10407,"臺北市","內湖區紫陽里",3148,8439,8439,1086,6603,750
"179",10407,"臺北市","內湖區紫雲里",2282,6178,6178,948,4490,740
"180",10407,"臺北市","士林區百齡里",2547,7705,7705,1248,5594,863
"181",10407,"臺北市","士林區承德里",2388,5954,5954,808,4340,806
"182",10407,"臺北市","士林區翠山里",1181,2744,2744,249,1920,575
"183",10407,"臺北市","士林區德華里",2227,5901,5901,776,4303,822
"184",10407,"臺北市","士林區德行里",1875,4617,4617,639,3337,641
"185",10407,"臺北市","士林區東山里",1806,5506,5506,794,4021,691
"186",10407,"臺北市","士林區福安里",1799,5003,5003,649,3744,610
"187",10407,"臺北市","士林區福德里",2868,6056,6056,693,4410,953
"188",10407,"臺北市","士林區福華里",2597,6818,6818,970,4973,875
"189",10407,"臺北市","士林區福佳里",3006,8346,8346,1291,5845,1210
"190",10407,"臺北市","士林區福林里",1254,3233,3233,432,2259,542
"191",10407,"臺北市","士林區福順里",2071,5611,5611,832,4043,736
"192",10407,"臺北市","士林區福志里",2994,7951,7951,1024,5654,1273
"193",10407,"臺北市","士林區福中里",2614,7497,7497,1366,5365,766
"194",10407,"臺北市","士林區富光里",2142,6263,6263,926,4566,771
"195",10407,"臺北市","士林區富洲里",2299,5925,5925,727,4484,714
"196",10407,"臺北市","士林區公館里",542,1471,1471,155,1071,245
"197",10407,"臺北市","士林區後港里",3076,8571,8571,1209,6316,1046
"198",10407,"臺北市","士林區葫東里",1578,4321,4321,607,3190,524
"199",10407,"臺北市","士林區葫蘆里",2811,8196,8196,1289,5880,1027
"200",10407,"臺北市","士林區菁山里",583,1706,1706,197,1259,250
"201",10407,"臺北市","士林區舊佳里",2402,6391,6391,828,4550,1013
"202",10407,"臺北市","士林區蘭興里",2458,6872,6872,974,5069,829
"203",10407,"臺北市","士林區蘭雅里",3296,9118,9118,1232,6723,1163
"204",10407,"臺北市","士林區臨溪里",1176,3066,3066,319,2179,568
"205",10407,"臺北市","士林區名山里",2693,7539,7539,1048,5485,1006
"206",10407,"臺北市","士林區明勝里",1950,5199,5199,701,3754,744
"207",10407,"臺北市","士林區平等里",533,1546,1546,170,1131,245
"208",10407,"臺北市","士林區前港里",1738,4869,4869,815,3547,507
"209",10407,"臺北市","士林區仁勇里",1578,4297,4297,685,2981,631
"210",10407,"臺北市","士林區三玉里",2169,6198,6198,860,4582,756
"211",10407,"臺北市","士林區社新里",3401,9555,9555,1434,7014,1107
"212",10407,"臺北市","士林區社園里",2655,7852,7852,1238,5749,865
"213",10407,"臺北市","士林區社子里",2413,6783,6783,1006,4960,817
"214",10407,"臺北市","士林區聖山里",1944,5336,5336,735,3870,731
"215",10407,"臺北市","士林區天福里",2331,6663,6663,1087,4802,774
"216",10407,"臺北市","士林區天和里",2774,8076,8076,1266,5891,919
"217",10407,"臺北市","士林區天祿里",1987,5602,5602,872,3979,751
"218",10407,"臺北市","士林區天母里",2569,7148,7148,1116,5077,955
"219",10407,"臺北市","士林區天山里",2675,7396,7396,1089,5302,1005
"220",10407,"臺北市","士林區天壽里",1956,5372,5372,856,3811,705
"221",10407,"臺北市","士林區天玉里",3478,9437,9437,1641,6608,1188
