"","統計年月","縣市","行政區域","戶數","總人數","人口數","青少年人口","壯年人口","老年人口"
"437",10407,"臺北市","中正區龍光里",1404,3992,3992,1037,2459,496
"438",10407,"臺北市","中正區龍興里",1606,4526,4526,1194,2878,454
"439",10407,"臺北市","中正區梅花里",1438,3351,3351,424,2326,601
"440",10407,"臺北市","中正區南福里",4400,11273,11273,2521,7527,1225
"441",10407,"臺北市","中正區南門里",1106,3067,3067,672,1944,451
"442",10407,"臺北市","中正區三愛里",3425,8855,8855,1483,5887,1485
"443",10407,"臺北市","中正區廈安里",1792,4890,4890,1267,3183,440
"444",10407,"臺北市","中正區水源里",1394,3107,3107,390,2162,555
"445",10407,"臺北市","中正區網溪里",2480,5995,5995,747,4316,932
"446",10407,"臺北市","中正區文北里",2259,5768,5768,890,3873,1005
"447",10407,"臺北市","中正區文盛里",1162,2692,2692,332,1873,487
"448",10407,"臺北市","中正區文祥里",3088,8485,8485,1869,5614,1002
"449",10407,"臺北市","中正區新營里",3595,10263,10263,2678,6574,1011
"450",10407,"臺北市","中正區幸福里",2018,4969,4969,880,3397,692
"451",10407,"臺北市","中正區幸市里",1937,4696,4696,585,3254,857
"452",10407,"臺北市","中正區螢圃里",2398,5687,5687,664,4045,978
"453",10407,"臺北市","中正區螢雪里",1813,4594,4594,494,3385,715
"454",10407,"臺北市","中正區永昌里",2072,5209,5209,540,3804,865
"455",10407,"臺北市","中正區永功里",2581,6717,6717,1116,4678,923
"456",10407,"臺北市","中正區忠勤里",3040,6935,6935,751,5095,1089
