"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","信義區黎忠里",1613,1511400,937,662,398,1146,1044.46,111.47
"台北市","信義區六合里",2431,3597178,1480,739,395,1502,5781.32,390.71
"台北市","信義區六藝里",1171,1106371,945,681,378,1183,1118.59,118.39
"台北市","信義區三犁里",1904,3839090,2016,779,411,1610,7202.33,357.2
"台北市","信義區三張里",3105,4023747,1296,698,365,1327,4441.49,342.74
"台北市","信義區雙和里",2457,2506335,1020,701,384,1254,1109.27,108.74
"台北市","信義區四維里",1864,1971187,1058,663,373,1260,1497.26,141.58
"台北市","信義區四育里",1907,1763344,925,655,371,1210,954.31,103.21
"台北市","信義區松光里",1785,1780780,998,683,391,1253,1046.39,104.89
"台北市","信義區松隆里",674,516126,766,562,343,971,712.88,93.09
"台北市","信義區松友里",2304,2256729,979,692,401,1246,969.37,98.97
"台北市","信義區泰和里",2583,2380456,922,633,365,1123,1015.75,110.22
"台北市","信義區五常里",1295,1353754,1045,678,373,1226,1506.97,144.16
"台北市","信義區五全里",1749,1817910,1039,633,360,1189,2290.06,220.32
"台北市","信義區西村里",1679,1749565,1042,709,369,1338,1182.99,113.53
"台北市","信義區新仁里",1263,1569354,1243,822,421,1600,1459.84,117.49
"台北市","信義區興隆里",1005,5247534,5221,781,401,1737,90476.41,1732.79
"台北市","信義區興雅里",2080,2247102,1080,715,378,1322,1565.97,144.95
"台北市","信義區雅祥里",1647,1726867,1048,687,386,1231,1628.81,155.35
"台北市","信義區永春里",1601,1436611,897,636,374,1115,961.55,107.16
"台北市","信義區永吉里",990,765834,774,571,333,970,828.67,107.12
"台北市","信義區長春里",1275,1097884,861,618,354,1074,883.03,102.55
"台北市","信義區正和里",1707,2316530,1357,777,386,1602,2269.57,167.24
"台北市","信義區中坡里",1555,1463966,941,618,351,1148,1710.23,181.66
"台北市","信義區中行里",2604,2284521,877,626,371,1083,1186.17,135.2
"台北市","信義區中興里",1293,1530469,1184,711,354,1439,1592.98,134.58
"台北市","中山區北安里",966,1140079,1180,764,412,1486,1873.06,158.71
"台北市","中山區成功里",2518,6788453,2696,1118,499,2407,10271.2,380.98
"台北市","中山區大佳里",273,231124,847,552,305,1058,939.55,110.98
"台北市","中山區大直里",3336,3978568,1193,754,403,1470,1721.15,144.32
"台北市","中山區復華里",1803,2667584,1480,770,381,1605,2737.41,185.02
"台北市","中山區恆安里",1575,1869692,1187,663,367,1226,3810.26,320.97
"台北市","中山區集英里",2311,2694059,1166,661,354,1247,3442.96,295.34
"台北市","中山區劍潭里",1171,1228095,1049,700,387,1241,1367.73,130.41
"台北市","中山區江寧里",2607,3277753,1257,763,385,1541,1785.93,142.05
"台北市","中山區江山里",2836,3363719,1186,706,377,1383,2184.68,184.19
"台北市","中山區金泰里",2592,5721242,2207,1026,491,1929,9518.78,431.25
"台北市","中山區聚盛里",1356,1219703,899,563,321,1046,1613.05,179.33
"台北市","中山區聚葉里",1308,1303506,997,659,365,1208,1557.39,156.28
"台北市","中山區康樂里",941,1032793,1098,630,332,1256,2902.56,264.46
"台北市","中山區力行里",2342,4330585,1849,775,392,1572,5516.88,298.36
"台北市","中山區龍洲里",1855,2189464,1180,720,386,1432,2121.42,179.74
"台北市","中山區民安里",1667,2098791,1259,643,364,1273,3349.6,266.05
"台北市","中山區埤頭里",1281,1233403,963,656,363,1158,1054.77,109.55
"台北市","中山區晴光里",1908,2490679,1305,668,366,1258,5952.92,456.03
"台北市","中山區松江里",2430,4122778,1697,724,386,1378,9521.41,561.2
"台北市","中山區下埤里",2815,3138013,1115,696,380,1279,2280.22,204.55
"台北市","中山區新福里",1753,2283882,1303,608,338,1134,13632.03,1046.33
"台北市","中山區新生里",1624,1443779,889,596,336,1100,960.6,108.05
"台北市","中山區新喜里",1831,1842151,1006,634,357,1103,2618.26,260.24
"台北市","中山區新庄里",1629,1365545,838,588,331,1035,1031.63,123.07
"台北市","中山區行仁里",2678,2338286,873,620,351,1097,1011.86,115.89
"台北市","中山區行孝里",1354,1170402,864,623,349,1075,912.44,105.56
"台北市","中山區行政里",1982,1882194,950,619,343,1125,2184.93,230.08
"台北市","中山區興亞里",2096,2719597,1298,717,368,1411,2481.05,191.22
"台北市","中山區永安里",3489,7215602,2068,981,455,2113,4635.61,224.15
"台北市","中山區圓山里",1456,1468609,1009,611,333,1130,2119.38,210.12
"台北市","中山區正得里",1425,2026078,1422,685,363,1327,6725.89,473.05
"台北市","中山區正守里",1238,1383174,1117,711,368,1338,1475.97,132.11
"台北市","中山區正義里",1698,1567734,923,607,335,1106,1823.85,197.54
"台北市","中山區中吉里",2052,2735924,1333,749,382,1480,2817.33,211.31
"台北市","中山區中山里",2265,2164395,956,615,335,1107,2111.81,221
"台北市","中山區中央里",1297,1436950,1108,696,357,1256,1900.35,171.53
"台北市","中山區中原里",1817,2209880,1216,707,379,1285,3172.87,260.88
"台北市","中山區中庄里",1732,1666074,962,601,338,1117,1944.16,202.11
"台北市","中山區朱馥里",2093,2219381,1060,661,371,1246,1759.36,165.92
"台北市","中山區朱崙里",1097,1344667,1226,701,392,1380,1725.49,140.77
"台北市","中山區朱園里",1797,4166367,2319,781,401,1525,20055.35,865.01
"台北市","中正區愛國里",1128,1312795,1164,751,409,1376,1677.96,144.18
"台北市","中正區板溪里",1214,1349748,1112,749,394,1413,1408.56,126.69
"台北市","中正區頂東里",2261,2620031,1159,762,393,1469,1407.28,121.44
"台北市","中正區東門里",1467,6411140,4370,880,441,1841,108882.02,2491.44
"台北市","中正區富水里",847,983929,1162,784,419,1415,1311.38,112.89
"台北市","中正區光復里",1284,1769842,1378,725,368,1381,3294.36,239
"台北市","中正區河堤里",1697,1943100,1145,734,400,1416,1901.61,166.08
"台北市","中正區建國里",521,782181,1501,892,419,1754,2122.87,141.4
"台北市","中正區黎明里",1125,1562825,1389,825,398,1558,2643.08,190.26
"台北市","中正區林興里",1575,1920231,1219,806,400,1493,2005.82,164.52
"台北市","中正區龍福里",2118,2734910,1291,910,437,1710,1369.54,106.06
"台北市","中正區龍光里",1215,1566734,1289,870,428,1618,1657.81,128.56
"台北市","中正區龍興里",1249,1411363,1130,771,398,1449,1542.75,136.53
"台北市","中正區梅花里",1291,1831833,1419,813,396,1559,2658.42,187.35
"台北市","中正區南福里",3432,5155294,1502,982,471,1933,1999.89,133.14
"台北市","中正區南門里",950,1509582,1589,872,430,1748,3179.81,200.11
"台北市","中正區三愛里",3077,5708212,1855,862,411,1859,12046.26,649.35
"台北市","中正區廈安里",1350,1635000,1211,755,420,1520,1583.53,130.75
"台北市","中正區水源里",1063,1091982,1027,695,384,1262,1092.62,106.36
"台北市","中正區網溪里",2088,2381447,1141,755,385,1465,1292.71,113.34
"台北市","中正區文北里",2103,5275741,2509,940,426,2080,15087.13,601.4
"台北市","中正區文盛里",957,1154194,1206,808,390,1540,1315.39,109.07
"台北市","中正區文祥里",2708,4209216,1554,960,429,1946,2576.69,165.77
"台北市","中正區新營里",3033,5043208,1663,1033,469,2021,3682.98,221.5
"台北市","中正區幸福里",1689,2319647,1373,800,398,1608,2279.86,166
"台北市","中正區幸市里",1791,3647426,2037,869,422,1864,5512.41,270.68
"台北市","中正區螢圃里",1986,2123951,1069,686,365,1286,1699.09,158.87
"台北市","中正區螢雪里",1550,1413390,912,622,347,1170,956.61,104.91
"台北市","中正區永昌里",1503,1240026,825,593,338,1048,814.98,98.78
"台北市","中正區永功里",2059,2178716,1058,700,380,1327,1322.36,124.97
"台北市","中正區忠勤里",1725,1199641,695,541,323,889,583.33,83.88
