"縣市名稱","行政區域"
"彰化縣","秀水鄉秀水村"
"彰化縣","秀水鄉安溪村"
"彰化縣","秀水鄉莊雅村"
"彰化縣","秀水鄉金興村"
"彰化縣","秀水鄉陝西村"
"彰化縣","秀水鄉安東村"
"彰化縣","秀水鄉鶴鳴村"
"彰化縣","秀水鄉馬興村"
"彰化縣","秀水鄉義興村"
"彰化縣","秀水鄉福安村"
"彰化縣","秀水鄉埔崙村"
"彰化縣","秀水鄉曾厝村"
"彰化縣","秀水鄉金陵村"
"彰化縣","秀水鄉下崙村"
"彰化縣","花壇鄉花壇村"
"彰化縣","花壇鄉金墩村"
"彰化縣","花壇鄉中庄村"
"彰化縣","花壇鄉劉厝村"
"彰化縣","花壇鄉崙雅村"
"彰化縣","花壇鄉南口村"
"彰化縣","花壇鄉中口村"
"彰化縣","花壇鄉北口村"
"彰化縣","花壇鄉長沙村"
"彰化縣","花壇鄉文德村"
"彰化縣","花壇鄉白沙村"
"彰化縣","花壇鄉岩竹村"
"彰化縣","花壇鄉橋頭村"
"彰化縣","花壇鄉灣雅村"
"彰化縣","花壇鄉灣東村"
"彰化縣","花壇鄉三春村"
"彰化縣","花壇鄉永春村"
"彰化縣","花壇鄉長春村"
"彰化縣","芬園鄉舊社村"
"彰化縣","芬園鄉大埔村"
"彰化縣","芬園鄉竹林村"
"彰化縣","芬園鄉社口村"
"彰化縣","芬園鄉茄荖村"
"彰化縣","芬園鄉嘉興村"
"彰化縣","芬園鄉芬園村"
"彰化縣","芬園鄉縣庄村"
"彰化縣","芬園鄉圳墘村"
"彰化縣","芬園鄉溪頭村"
"彰化縣","芬園鄉進芬村"
"彰化縣","芬園鄉同安村"
"彰化縣","芬園鄉中崙村"
"彰化縣","芬園鄉大竹村"
"彰化縣","芬園鄉楓坑村"
"彰化縣","員林市東和里"
"彰化縣","員林市民生里"
"彰化縣","員林市中正里"
"彰化縣","員林市仁美里"
"彰化縣","員林市新興里"
"彰化縣","員林市和平里"
"彰化縣","員林市光明里"
"彰化縣","員林市中山里"
"彰化縣","員林市黎明里"
"彰化縣","員林市惠來里"
"彰化縣","員林市三義里"
"彰化縣","員林市新生里"
"彰化縣","員林市南平里"
"彰化縣","員林市南興里"
"彰化縣","員林市源潭里"
"彰化縣","員林市大埔里"
"彰化縣","員林市三條里"
"彰化縣","員林市三和里"
"彰化縣","員林市三橋里"
"彰化縣","員林市中央里"
"彰化縣","員林市溝皂里"
"彰化縣","員林市大饒里"
"彰化縣","員林市大明里"
"彰化縣","員林市萬年里"
"彰化縣","員林市崙雅里"
"彰化縣","員林市振興里"
"彰化縣","員林市林厝里"
"彰化縣","員林市出水里"
"彰化縣","員林市湖水里"
"彰化縣","員林市大峯里"
"彰化縣","員林市鎮興里"
"彰化縣","員林市浮圳里"
"彰化縣","員林市西東里"
"彰化縣","員林市南東里"
"彰化縣","員林市中東里"
"彰化縣","員林市東北里"
"彰化縣","員林市三愛里"
"彰化縣","員林市三信里"
"彰化縣","員林市三多里"
"彰化縣","員林市仁愛里"
"彰化縣","員林市忠孝里"
"彰化縣","溪湖鎮光平里"
"彰化縣","溪湖鎮平和里"
"彰化縣","溪湖鎮太平里"
"彰化縣","溪湖鎮光華里"
"彰化縣","溪湖鎮東寮里"
"彰化縣","溪湖鎮西寮里"
"彰化縣","溪湖鎮大突里"
"彰化縣","溪湖鎮北勢里"
"彰化縣","溪湖鎮汴頭里"
"彰化縣","溪湖鎮大竹里"
"彰化縣","溪湖鎮湖西里"
