"里","n","med","mean"
"萬華區孝德里",25,374525.619834711,390093.090909091
"萬華區新安里",64,413272.727272727,428160.27892562
"萬華區新和里",82,469459.504132231,428614.351945172
"萬華區新起里",116,524747.107438017,574273.810202337
"萬華區新忠里",8,514545.454545455,508577.272727273
"萬華區興德里",34,388975.20661157,414359.844433641
"萬華區忠德里",48,366996.694214876,377782.369146006
"萬華區忠貞里",54,463697.520661157,465399.142944598
"文山區博嘉里",78,500824.79338843,490579.020979021
"文山區華興里",88,411593.388429752,432911.382419234
"文山區景東里",131,491226.446280992,487062.090719828
"文山區景華里",52,488866.115702479,535003.814367451
"文山區景美里",35,445523.966942149,415217.378984652
"文山區景慶里",32,452520.661157025,586104.958677686
"文山區景仁里",34,493181.818181818,513616.52892562
"文山區景行里",120,565320.661157025,547528.071625344
"文山區老泉里",1,239434.710743802,239434.710743802
"文山區明興里",149,401404.958677686,410205.690831438
"文山區明義里",20,467970.247933884,449839.504132231
"文山區木柵里",109,446575.20661157,463088.179543559
"文山區木新里",82,433550.413223141,487048.86111671
"文山區試院里",75,423104.132231405,457123.526170799
"文山區順興里",68,437115.702479339,3549401.06951872
"文山區萬芳里",106,409639.669421488,409892.499610167
"文山區萬和里",125,441940.495867769,439309.884297521
"文山區萬隆里",49,476314.049586777,451757.59824591
"文山區萬美里",60,378662.809917355,366619.944903581
"文山區萬年里",44,532031.404958678,570015.627347859
"文山區萬盛里",59,490390.082644628,499929.065695476
"文山區萬祥里",36,512190.082644628,506853.902662994
"文山區萬興里",89,436132.231404959,439417.661807039
"文山區萬有里",54,511429.752066116,512655.341291705
"文山區興安里",75,473143.801652893,483137.013774105
"文山區興邦里",92,452390.082644628,451757.096658282
"文山區興昌里",107,449884.297520661,435512.751988878
"文山區興得里",69,406638.016528926,449618.972332016
"文山區興豐里",87,515319.008264463,503995.022323549
"文山區興福里",45,459669.421487603,530845.766758494
"文山區興光里",113,561642.975206612,553306.399473415
"文山區興家里",84,317823.140495868,355767.807949626
"文山區興泰里",32,473553.719008264,465162.70661157
"文山區興旺里",150,409327.272727273,407784.61707989
"文山區興業里",41,479100.826446281,470309.534368071
"文山區樟腳里",76,437148.760330579,443873.205741627
"文山區樟林里",82,403251.239669421,436028.018544648
"文山區樟樹里",18,386500.826446281,357073.645546373
"文山區樟文里",53,411877.685950413,414244.628099174
"文山區樟新里",57,453289.256198347,452436.189647673
"文山區政大里",150,413923.966942149,428898.754820937
"文山區指南里",108,415419.834710744,409728.43587389
"文山區忠順里",81,481424.79338843,513018.794000612
"信義區安康里",109,833133.884297521,835186.776859504
"信義區大道里",32,595775.20661157,588024.276859504
"信義區大仁里",26,557408.26446281,572493.833439288
"信義區敦厚里",69,901771.900826446,932854.904779015
"信義區富台里",76,788309.090909091,829342.453240539
"信義區廣居里",53,736823.140495868,790968.657414627
"信義區國業里",65,656519.008264463,720166.204704387
"信義區惠安里",36,504254.545454545,548405.601469238
"信義區嘉興里",51,603038.016528926,609441.192675417
"信義區景聯里",82,639424.79338843,645408.788550695
"信義區景勤里",25,586826.446280992,564181.421487603
"信義區景新里",91,878376.859504132,928928.889292526
"信義區黎安里",7,496836.363636364,505288.783943329
"信義區黎平里",83,569206.611570248,600744.438912675
"信義區黎順里",61,619676.033057851,586335.130741092
"信義區黎忠里",53,500099.173553719,508562.295337596
"信義區六合里",69,479666.115702479,474662.642232603
"信義區六藝里",20,750684.297520661,777320.661157025
"信義區三犁里",34,558715.702479339,644689.061740399
"信義區三張里",112,606361.983471074,619932.113341204
"信義區雙和里",72,561975.20661157,537929.43067034
"信義區四維里",16,543130.578512397,704290.909090909
"信義區四育里",64,834386.776859504,769926.188016529
"信義區松光里",79,625695.867768595,638756.773721101
"信義區松隆里",41,510403.305785124,514164.805482766
"信義區松友里",44,553704.132231405,591653.117956424
"信義區泰和里",89,453064.462809917,489782.486767574
"信義區五常里",28,639375.20661157,749336.953955136
"信義區五全里",67,647861.157024793,685119.427655113
"信義區西村里",64,731785.123966942,775191.838842975
"信義區新仁里",40,778829.752066116,742795.123966942
"信義區興隆里",33,747071.074380165,744036.563986977
"信義區興雅里",56,765244.628099174,851852.184179457
"信義區雅祥里",75,671256.198347108,724106.578512397
"信義區永春里",80,695616.52892562,734675.950413223
"信義區永吉里",26,623438.016528926,968737.698664971
"信義區長春里",33,634892.561983471,652514.500375657
"信義區正和里",46,850492.561983471,989054.186130075
"信義區中坡里",23,444492.561983471,452926.051024075
"信義區中行里",37,520082.644628099,528158.052267143
"信義區中興里",108,768280.991735537,761391.092745638
"中山區北安里",28,694970.247933884,634901.652892562
"中山區成功里",186,790254.545454545,836660.108415534
"中山區大佳里",13,471332.231404959,473590.336935791
"中山區大直里",70,592231.404958678,620567.650531287
"中山區復華里",108,699990.082644628,797026.446280992
"中山區恆安里",138,624839.669421488,640838.256078572
"中山區集英里",134,625213.223140496,691342.000740101
"中山區劍潭里",27,456690.909090909,466058.034894399
"中山區江寧里",54,636578.512396694,664002.999693909
"中山區江山里",89,654036.363636364,688541.405887269
"中山區金泰里",238,1052127.27272727,1099472.96340024
"中山區聚盛里",145,509699.173553719,590333.975491593
"中山區聚葉里",208,639885.950413223,678696.010807374
"中山區康樂里",90,653105.785123967,655845.876951332
"中山區力行里",101,772581.818181818,820387.627853694
"中山區龍洲里",41,680323.966942149,711196.291070349
"中山區民安里",31,711880.991735537,850361.39696081
"中山區埤頭里",67,739411.570247934,786551.81941532
"中山區晴光里",152,565454.545454545,562995.193562418
"中山區松江里",69,638535.537190083,667164.690382082
"中山區下埤里",67,599388.429752066,619930.085111632
"中山區新福里",137,536846.280991736,574660.167702238
"中山區新生里",111,583236.363636364,618944.412180776
"中山區新喜里",67,523064.462809917,547138.472924633
"中山區新庄里",132,612616.52892562,660472.226396193
"中山區行仁里",81,529077.685950413,598235.8942965
"中山區行孝里",39,646271.074380165,686944.35261708
"中山區行政里",147,783748.760330579,767499.679541238
"中山區興亞里",140,602851.239669421,649967.815820543
"中山區永安里",102,734595.041322314,727183.438664722
"中山區圓山里",155,510304.132231405,527114.710743802
"中山區正得里",132,629961.983471074,664938.542449286
"中山區正守里",44,700414.876033058,699959.504132231
"中山區正義里",240,547342.148760331,613131.308539945
"中山區中吉里",135,698938.842975207,751176.61463116
"中山區中山里",305,605699.173553719,639170.00948381
"中山區中央里",43,713219.834710744,854132.692677302
"中山區中原里",137,562938.842975207,572344.404898353
"中山區中庄里",98,658104.132231405,730987.080452016
"中山區朱馥里",71,666638.016528926,713462.646956117
"中山區朱崙里",130,709545.454545455,747260.038143674
"中山區朱園里",135,678727.272727273,704911.172329354
"中正區愛國里",16,511819.834710744,505496.900826446
"中正區板溪里",47,660495.867768595,695437.594513803
"中正區頂東里",101,689662.809917355,714007.724408805
"中正區東門里",40,809452.892561984,760354.049586777
"中正區富水里",15,526019.834710744,564946.115702479
"中正區光復里",127,641276.033057851,824565.940001301
"中正區河堤里",41,567963.636363636,574954.081838339
"中正區建國里",21,717196.694214876,969475.324675325
"中正區黎明里",111,660277.685950413,781747.7179659
"中正區林興里",59,633424.79338843,666924.275108559
"中正區龍福里",44,700041.32231405,715438.317054846
"中正區龍光里",13,657368.595041322,654807.628734901
"中正區龍興里",23,650442.975206612,598626.374416098
"中正區梅花里",74,750831.404958678,754730.757203485
"中正區南福里",196,822682.644628099,776798.988024962
"中正區南門里",21,685242.975206612,946526.879181425
"中正區三愛里",81,776882.644628099,828805.672890521
"中正區廈安里",23,603428.099173554,626567.876392382
"中正區水源里",31,664932.231404959,801647.560650493
"中正區網溪里",142,556819.834710744,549199.883599115
"中正區文北里",92,941054.545454546,899031.297161337
"中正區文盛里",32,716752.066115703,790781.714876033
"中正區文祥里",56,858429.752066116,833358.26446281
"中正區新營里",67,862469.421487603,862009.275934378
"中正區幸福里",79,729404.958677686,752388.534365519
"中正區幸市里",83,813831.404958678,821272.408642836
"中正區螢圃里",53,579758.67768595,614628.598159988
"中正區螢雪里",41,504601.652892562,510921.346502721
"中正區永昌里",14,473669.421487603,467564.344746163
"中正區永功里",43,504198.347107438,519264.962521622
"中正區忠勤里",70,479892.561983471,446877.544273908
NA,42,497968.595041322,473778.197560016
