"行政區域","縣市名稱","Ym","city","gen_sum"
"北投區榮華里","台北市",10501,"台北市",1968476
"北投區榮華里","台北市",10503,"台北市",2093002
"北投區榮華里","台北市",10509,"台北市",3159538
"北投區石牌里","台北市",10509,"台北市",1964607
"北投區石牌里","台北市",10503,"台北市",1274047
"北投區石牌里","台北市",10501,"台北市",1093513
"北投區石牌里","台北市",10507,"台北市",2326961
"北投區石牌里","台北市",10505,"台北市",1485061
"北投區石牌里","台北市",10511,"台北市",1241677
"北投區桃源里","台北市",10501,"台北市",1163842
"北投區桃源里","台北市",10511,"台北市",1342419
"北投區桃源里","台北市",10507,"台北市",2162495
"北投區桃源里","台北市",10505,"台北市",1415907
"北投區桃源里","台北市",10503,"台北市",1400304
"北投區桃源里","台北市",10509,"台北市",1894498
"北投區溫泉里","台北市",10511,"台北市",1878141
"北投區溫泉里","台北市",10501,"台北市",1328975
"北投區溫泉里","台北市",10505,"台北市",1422089
"北投區溫泉里","台北市",10509,"台北市",2670042
"北投區溫泉里","台北市",10507,"台北市",2099122
"北投區溫泉里","台北市",10503,"台北市",1415511
"北投區文化里","台北市",10505,"台北市",1017031
"北投區文化里","台北市",10503,"台北市",1017731
"北投區文化里","台北市",10509,"台北市",1984193
"北投區文化里","台北市",10511,"台北市",1386385
"北投區文化里","台北市",10501,"台北市",911507
"北投區文化里","台北市",10507,"台北市",1397268
"北投區文林里","台北市",10507,"台北市",2324571
"北投區文林里","台北市",10503,"台北市",1258423
"北投區文林里","台北市",10511,"台北市",1300298
"北投區文林里","台北市",10509,"台北市",1950773
"北投區文林里","台北市",10501,"台北市",1079886
"北投區文林里","台北市",10505,"台北市",1463641
"北投區秀山里","台北市",10509,"台北市",880709
"北投區秀山里","台北市",10505,"台北市",675759
"北投區秀山里","台北市",10501,"台北市",563846
"北投區秀山里","台北市",10511,"台北市",682223
"北投區秀山里","台北市",10503,"台北市",651674
"北投區秀山里","台北市",10507,"台北市",1011283
"北投區一德里","台北市",10505,"台北市",1910583
"北投區一德里","台北市",10509,"台北市",2740774
"北投區一德里","台北市",10503,"台北市",1850233
"北投區一德里","台北市",10507,"台北市",2932799
"北投區一德里","台北市",10501,"台北市",1566877
"北投區一德里","台北市",10511,"台北市",2065788
"北投區永和里","台北市",10507,"台北市",4177227
"北投區永和里","台北市",10501,"台北市",2968931
"北投區永和里","台北市",10503,"台北市",2623023
"北投區永和里","台北市",10509,"台北市",3723812
"北投區永和里","台北市",10505,"台北市",3203410
"北投區永和里","台北市",10511,"台北市",2630982
"北投區永明里","台北市",10503,"台北市",1008239
"北投區永明里","台北市",10511,"台北市",1087402
"北投區永明里","台北市",10509,"台北市",1670003
"北投區永明里","台北市",10501,"台北市",1099339
"北投區永明里","台北市",10505,"台北市",1448274
"北投區永明里","台北市",10507,"台北市",2095417
"北投區永欣里","台北市",10503,"台北市",2131179
"北投區永欣里","台北市",10511,"台北市",2201926
"北投區永欣里","台北市",10501,"台北市",2370359
"北投區永欣里","台北市",10507,"台北市",3938091
"北投區永欣里","台北市",10505,"台北市",2820475
"北投區永欣里","台北市",10509,"台北市",3345439
"北投區裕民里","台北市",10501,"台北市",2007466
"北投區裕民里","台北市",10503,"台北市",2080421
"北投區裕民里","台北市",10505,"台北市",2572186
"北投區裕民里","台北市",10511,"台北市",2187143
"北投區裕民里","台北市",10507,"台北市",3828296
"北投區裕民里","台北市",10509,"台北市",3317999
"北投區長安里","台北市",10505,"台北市",1115715
"北投區長安里","台北市",10509,"台北市",2006175
"北投區長安里","台北市",10511,"台北市",1470589
"北投區長安里","台北市",10503,"台北市",1080945
"北投區長安里","台北市",10501,"台北市",1039484
"北投區長安里","台北市",10507,"台北市",1595499
"北投區振華里","台北市",10507,"台北市",3301951
"北投區振華里","台北市",10501,"台北市",1865295
"北投區振華里","台北市",10511,"台北市",1919027
"北投區振華里","台北市",10505,"台北市",2385037
"北投區振華里","台北市",10509,"台北市",2910178
"北投區振華里","台北市",10503,"台北市",1699716
"北投區智仁里","台北市",10509,"台北市",1510155
"北投區智仁里","台北市",10503,"台北市",849909
"北投區智仁里","台北市",10501,"台北市",785996
"北投區智仁里","台北市",10507,"台北市",1307297
"北投區智仁里","台北市",10511,"台北市",1088477
"北投區智仁里","台北市",10505,"台北市",893539
"北投區中和里","台北市",10507,"台北市",1800410
"北投區中和里","台北市",10505,"台北市",1165817
"北投區中和里","台北市",10503,"台北市",1089375
"北投區中和里","台北市",10501,"台北市",963509
"北投區中和里","台北市",10511,"台北市",1238523
"北投區中和里","台北市",10509,"台北市",1726118
"北投區中心里","台北市",10505,"台北市",1584103
"北投區中心里","台北市",10507,"台北市",2182272
"北投區中心里","台北市",10509,"台北市",2674869
"北投區中心里","台北市",10501,"台北市",1426879
"北投區中心里","台北市",10511,"台北市",1974600
"北投區中心里","台北市",10503,"台北市",1545857
